source;target;label;type;obs
ELE-48;EET-41;autores;undirected;PILLAI, S. U.;
MOE-42;EES-25;autores;undirected;YONEYAMA, T.;
MEB-13;MEB-01;autores;undirected;CENGEL, Y. A.;
MEB-13;MEB-01;autores;undirected;BOLES, M. A.;
MEB-13;MEB-01;autores;undirected;SONNTAG, R. E.;
MEB-13;MEB-01;autores;undirected;BORGNAKE, C.;
MEB-26;MEB-25;autores;undirected;HOLMAN, J. F.;
MEB-26;MEB-25;autores;undirected;WELTY, R.;
MEB-26;MEB-25;autores;undirected;OZISIK, M. N.;
MMT-07;PRP-11;autores;undirected;KUO, K. K.;
MMT-07;PRP-11;autores;undirected;SUMMERFIELD, M.;
MES-52;MMT-06;autores;undirected;HATNETT, J. P.;
MES-52;MMT-06;autores;undirected;VEZIROGLU, T. N.;
MPP-22;MPP-18;autores;undirected;SHIGLEY, J.E.;
MPP-22;MPP-18;autores;undirected;MISCHKE, C.R.;
MPS-30;PRP-52;autores;undirected;DELP, F.;
MTM-30;MTM-15;autores;undirected;SHACKELFORD, J. F.;
MTM-35;MTM-15;autores;undirected;SHACKELFORD, J. F.;
MTM-35;MTM-25;autores;undirected;MENDONCA, P. T. R.;
MTM-35;MTM-30;autores;undirected;SHACKELFORD, J. F.;
MPS-30;PRP-52;autores;undirected;DELP, F.;
MPS-30;MPS-30;autores;undirected;DELP, F.;
MPS-30;MPS-30;autores;undirected;LOMBARDO, D. A.;
MPS-30;MPS-30;autores;undirected;KROES, M. J.;
MPS-30;MPS-30;autores;undirected;TYE, W.;
MPS-30;MPS-30;autores;undirected;WATKINS, W. A.;
MPS-36;MPS-22;autores;undirected;FILHO, A.;
MPS-43;MVO-20;autores;undirected;OGATA, K.;
MPS-43;EES-10;autores;undirected;NAEINI, A.;
MPS-46;MPS-39;autores;undirected;LYSHEVSKI, S. E.;
EDI-31;EST-15;autores;undirected;HAISLER, W. E.;
EDI-31;EST-15;autores;undirected;ALLEN, D. H.;
EDI-31;EST-24;autores;undirected;HAISLER, W. E.;
EDI-31;EST-24;autores;undirected;ALLEN, D. H.;
EDI-32;EST-15;autores;undirected;CHAJES, A.;
EDI-32;EST-31;autores;undirected;CHAJES, A.;
EDI-32;EST-43;autores;undirected;CHAJES, A.;
EDI-32;EST-65;autores;undirected;CHAJES, A.;
GEO-45;GEO-36;autores;undirected;WHITMAN, R. V.;
GEO-45;GEO-36;autores;undirected;LAMBE, T. W.;
GEO-47;EDI-46;autores;undirected;MCCORMAC, J. C.;
HID-31;MEB-01;autores;undirected;SONNTAG, R. E.;
HID-31;MEB-13;autores;undirected;SONNTAG, R. E.;
HID-43;EDI-34;autores;undirected;MACINTYRE, A. J.;
HID-63;HID-53;autores;undirected;MOTTA, R.;
HID-63;HID-53;autores;undirected;FOGLIATI, M. C.;
HID-65;HID-53;autores;undirected;BRAGA, B.;
TRA-57;TRA-39;autores;undirected;ASHFORD, N.;
CES-35;CES-25;autores;undirected;TANENBAUM, A.S.;
CCI-38;CCI-37;autores;undirected;LAW, A. M.;
CCI-38;CCI-37;autores;undirected;PIDD, M.;
CCI-38;CCI-37;autores;undirected;KELTON, W. D.;
CCI-38;CCI-37;autores;undirected;BANKS, J.;
CES-26;CES-25;autores;undirected;PATTERSON, D.;
CES-46;HUM-70;autores;undirected;CASTELLS, M.;
CTC-17;CTC-11;autores;undirected;NORVIG, P.;
CTC-18;CTC-17;autores;undirected;FRANK, E.;
CTC-18;CTC-17;autores;undirected;WITTEN, I.;
CTC-21;CTC-11;autores;undirected;OLIVEIRA, A. J.;
CTC-21;CTC-11;autores;undirected;KNEALE, W.;
CTC-21;CTC-11;autores;undirected;KNEALE, M.;
